,NPL91_EVER,gender_nameRu,LastApprovedOfferSet_Payment,CBFactPmtsParametrSet,AgeParametrSet,PoVClient_ClientCountWithoutOverduePay,CBMaxOverdueParametrSet,CBCreditHistoryFromServParametrSet,PKB_REQ_360DAY,SUM_OSTATOK,MAX_OUSTAND_DAY_CNT,CNT_DAY_GR_0_Sum,educationtypedmparse2,low_rod_income,KDN
21798,0,Мужской,16134.9,33,67.5,44.0,2,Приемлемая 1,3.0,234663.97,0.0,0.0,,43407.0,0.1632221581540267
21800,0,Женский,56992.9,89,62.08,162.0,0,Положительная,2.0,230000.0,11.0,2.0,ВЫСШЕЕ,,0.0821306548741329
21806,0,Женский,,92,63.33,,0,Положительная,0.0,154825.44,0.0,0.0,ВЫСШЕЕ,,0.1590701790211694
21812,0,Женский,33750.0,82,66.67,13.0,3,Положительная,2.0,72800.0,32.0,5.0,ВЫСШЕЕ,,0.0
21815,0,Женский,76046.7,57,62.0,,0,Приемлемая 2,2.0,,0.0,0.0,,,0.0
21817,0,Женский,13554.2,205,63.75,93.0,1,Положительная,14.0,494102.86,82.0,1.0,СРЕДНЕЕ СПЕЦИАЛЬНОЕ,,0.2631763692255326
21820,0,Женский,37906.4,26,65.5,33.0,0,Приемлемая 1,0.0,,0.0,0.0,ВЫСШЕЕ,,0.0
21883,0,Женский,5027.4,49,68.0,30.0,9,Приемлемая 1,8.0,288622.28,9.0,2.0,,,0.2801247631080227
21884,0,Мужской,5500.0,48,66.33,73.0,0,Приемлемая 1,0.0,845679.26,0.0,0.0,СРЕДНЕЕ,43407.0,0.3030465692546797
21890,0,Женский,79810.1,0,61.83,,0,Приемлемая 1,,,,,,,0.0
21891,0,Женский,6222.0,155,63.83,56.0,0,Положительная,0.0,1407713.96,25.0,6.0,,43407.0,0.415527858676706
21897,0,Женский,78702.6,203,67.42,123.0,25,Положительная,9.0,225838.0,25.0,16.0,ВЫСШЕЕ,,0.3252030975944887
21904,0,Мужской,62652.7,152,53.92,164.0,8,Положительная,4.0,1936727.16,15.0,6.0,ВЫСШЕЕ,86814.0,1.0506132194927824
21914,0,Мужской,36257.1,69,60.08,105.0,8,Приемлемая 1,2.0,1229263.0,8.0,1.0,ВЫСШЕЕ,65110.5,0.3572217101894521
21928,0,Мужской,25500.0,67,65.08,14.0,2,Положительная,0.0,0.0,2.0,2.0,СРЕДНЕЕ,,0.1500750375187594
21936,0,Женский,62146.8,6,65.33,19.0,0,Приемлемая 1,0.0,,0.0,0.0,,,0.0
21961,0,Мужской,15712.0,66,66.42,32.0,18,Приемлемая 1,0.0,519269.66,25.0,1.0,ВЫСШЕЕ,,0.2762764972437347
21964,0,Женский,33857.9,100,67.33,35.0,2,Положительная,6.0,588091.53,4.0,2.0,,,0.2842273267822495
21979,0,Женский,82508.8,53,68.5,34.0,0,Приемлемая 1,2.0,,0.0,0.0,ВЫСШЕЕ,43407.0,0.0
21980,0,Женский,,461,66.25,12.0,58,Приемлемая 2,,,,,,43407.0,0.0519944322853165
21982,0,Мужской,14384.0,51,64.33,,22,Отрицательная,5.0,0.0,95.0,37.0,ВЫСШЕЕ,,0.0394370363067215
21997,0,Женский,8750.0,94,64.33,52.0,0,Положительная,,,,,,,0.1278791045005455
21998,0,Мужской,80329.7,160,66.42,154.0,11,Положительная,1.0,1295722.83,16.0,2.0,,,0.3590167597765363
22007,0,Женский,5000.0,97,67.83,,0,Положительная,2.0,580336.5,0.0,0.0,ВЫСШЕЕ,,0.2189185403095888
22008,0,Мужской,7083.4,34,66.42,32.0,0,Положительная,0.0,0.0,0.0,0.0,,43407.0,0.0
22012,0,Мужской,23649.3,30,65.25,15.0,0,Приемлемая 1,9.0,527503.39,0.0,0.0,СРЕДНЕЕ,43407.0,0.2481330617786829
22013,0,Женский,48996.0,81,68.17,53.0,0,Положительная,3.0,517708.84,1.0,1.0,,43407.0,0.5464872771323449
22018,0,Женский,64500.0,55,66.42,31.0,0,Положительная,2.0,0.0,0.0,0.0,СРЕДНЕЕ,,0.0
22020,0,Женский,1315.0,174,67.42,67.0,0,Положительная,4.0,1278749.97,1.0,0.0,,43407.0,0.4661149584487534
22029,0,Женский,10108.4,69,65.33,82.0,7,Положительная,2.0,83523.7,7.0,1.0,ВЫСШЕЕ,,0.0536800602253889
22094,0,Мужской,37022.1,36,63.33,,0,Отрицательная,12.0,1118977.73,1419.0,23.0,ВЫСШЕЕ,,1.334548654764898
22106,0,Мужской,13274.7,67,65.42,5.0,0,Положительная,7.0,522925.06,9.0,1.0,,43407.0,0.7897588356156522
22119,0,Женский,6048.0,47,65.17,156.0,0,Положительная,9.0,1633624.43,0.0,0.0,СРЕДНЕЕ,43407.0,0.3983886190752999
22125,0,Женский,,51,61.75,,0,Отрицательная,18.0,244696.36,0.0,0.0,ВЫСШЕЕ,43407.0,0.081949630250881
22213,0,Женский,,127,64.33,52.0,0,Положительная,19.0,1122140.97,0.0,0.0,ВЫСШЕЕ,43407.0,1.936648812374027
22235,0,Женский,,24,68.83,,0,Положительная,0.0,0.0,0.0,0.0,ВЫСШЕЕ,,0.0
22242,0,Мужской,66782.0,125,66.42,29.0,0,Положительная,14.0,1086517.87,0.0,0.0,,43407.0,0.0716543644309847
22260,0,Мужской,32332.6,101,65.92,16.0,14,Положительная,0.0,208578.24,19.0,2.0,,43407.0,0.3558532658693652
22321,0,Мужской,,104,69.33,60.0,1,Положительная,0.0,0.0,1.0,2.0,,43407.0,0.0
22368,0,Женский,1995.0,90,64.92,45.0,2,Положительная,9.0,1628671.63,2.0,1.0,,43407.0,0.495763680416927
22371,0,Женский,34035.3,38,68.92,28.0,0,Положительная,1.0,222051.21,0.0,0.0,СРЕДНЕЕ,,0.0
22376,0,Женский,62000.0,64,60.08,73.0,0,Положительная,3.0,,0.0,0.0,ВЫСШЕЕ,43407.0,0.0
22389,0,Мужской,41666.7,37,68.0,48.0,4,Приемлемая 1,0.0,,4.0,1.0,ВЫСШЕЕ,,0.0
22430,0,Мужской,5438.6,74,67.0,41.0,0,Положительная,8.0,1544536.36,3.0,1.0,СРЕДНЕЕ,43407.0,0.2188723540933471
22435,0,Мужской,9724.4,118,64.92,66.0,8,Положительная,1.0,5237181.18,8.0,9.0,,43407.0,0.1710274284969704
22437,0,Женский,,24,66.58,51.0,0,Приемлемая 1,0.0,,0.0,0.0,,43407.0,0.0
22529,0,Женский,76000.0,66,64.42,173.0,46,Приемлемая 2,0.0,31133.0,66.0,11.0,СРЕДНЕЕ СПЕЦИАЛЬНОЕ,,0.1520719770236211
22536,0,Мужской,21427.6,32,67.08,39.0,0,Приемлемая 1,0.0,81971.45,0.0,0.0,,,0.2529541617971692
22555,0,Мужской,40826.5,151,66.33,165.0,0,Положительная,2.0,1216238.58,0.0,0.0,,43407.0,0.3750504504627761
22647,0,Женский,,87,58.08,123.0,0,Положительная,0.0,573880.78,16.0,3.0,,43407.0,0.2811400683743745
22712,0,Женский,50541.9,132,66.67,163.0,3,Положительная,3.0,701993.02,3.0,3.0,ВЫСШЕЕ,43407.0,0.4451923296688227
22758,0,Мужской,18511.1,45,64.0,7.0,1,Положительная,10.0,928720.89,1.0,1.0,,43407.0,0.2626533561262171
22862,0,Женский,5078.0,45,67.83,23.0,1,Приемлемая 1,8.0,555826.17,1.0,1.0,ВЫСШЕЕ,,0.3682731933406937
22875,0,Женский,8417.1,146,67.0,97.0,0,Положительная,5.0,807778.49,0.0,0.0,,43407.0,0.3724050372302097
22958,1,Женский,,24,66.92,36.0,0,Приемлемая 1,,,,,ВЫСШЕЕ,43407.0,0.0
23004,0,Женский,39388.3,171,65.25,80.0,0,Положительная,4.0,317489.88,0.0,0.0,,,0.2301405299032716
23016,0,Мужской,12168.0,159,62.0,85.0,15,Положительная,7.0,1682032.56,15.0,4.0,,43407.0,0.5669023883498847
23040,0,Женский,45203.0,58,63.33,,0,Положительная,1.0,203099.97,0.0,0.0,СРЕДНЕЕ СПЕЦИАЛЬНОЕ,,0.4931168372749735
23245,0,Женский,30000.0,204,63.17,1.0,1,Положительная,21.0,468750.0,3.0,4.0,СРЕДНЕЕ,43407.0,0.2304651713265857
23252,0,Женский,12000.0,55,62.33,2.0,0,Положительная,3.0,120000.0,8.0,0.0,,43407.0,0.1291586390984727
23273,0,Женский,65254.1,81,65.67,64.0,0,Положительная,0.0,0.0,0.0,0.0,СРЕДНЕЕ,43407.0,0.0
23298,0,Женский,8580.0,154,67.17,91.0,1,Положительная,15.0,805542.52,11.0,2.0,,,0.4325927386973612
23755,0,Женский,,3,61.33,,0,Приемлемая 2,13.0,442496.0,0.0,0.0,СРЕДНЕЕ,43407.0,0.7309266517963489
23823,0,Женский,8333.0,85,61.83,90.0,0,Положительная,0.0,90462.0,0.0,0.0,СРЕДНЕЕ СПЕЦИАЛЬНОЕ,,0.4869438837303189
23889,0,Мужской,85435.5,144,63.67,114.0,0,Приемлемая 1,1.0,1228056.95,22.0,1.0,,43407.0,0.0
23940,0,Мужской,8010.4,84,66.83,41.0,22,Положительная,5.0,331969.21,23.0,9.0,,43407.0,0.3788817870746981
23989,0,Мужской,3163.4,127,66.42,67.0,0,Положительная,4.0,522521.99,27.0,0.0,,43407.0,0.4340873009547795
24041,0,Мужской,14384.0,29,65.33,,0,Положительная,1.0,0.0,0.0,0.0,ВЫСШЕЕ,43407.0,0.0
24119,0,Женский,,74,68.92,125.0,14,Положительная,1.0,146827.46,14.0,3.0,СРЕДНЕЕ СПЕЦИАЛЬНОЕ,43407.0,0.178827000334784
24160,0,Женский,33673.0,0,66.0,,0,Приемлемая 1,,,,,,43407.0,0.0
24176,0,Мужской,87000.0,77,64.08,166.0,0,Положительная,1.0,690859.7,0.0,0.0,,,0.0
24275,0,Мужской,72000.0,65,57.0,,0,Положительная,0.0,0.0,0.0,0.0,ВЫСШЕЕ,65110.5,0.0
24313,0,Мужской,41666.7,58,64.42,83.0,0,Положительная,3.0,787791.0,0.0,0.0,,43407.0,0.2479013199203772
24367,0,Мужской,89000.0,122,68.0,70.0,0,Положительная,1.0,175885.7,2.0,1.0,,43407.0,0.5245399054020413
24461,0,Мужской,,0,66.92,,0,Приемлемая 1,,,,,,43407.0,0.0
24495,0,Женский,48413.5,13,59.17,26.0,0,Приемлемая 1,0.0,,0.0,0.0,,43407.0,0.0
24546,0,Мужской,7396.7,74,64.17,83.0,0,Приемлемая 1,2.0,2164165.3,0.0,0.0,,,0.4561077311115556
24586,0,Женский,53432.8,238,66.42,159.0,1,Положительная,21.0,798700.55,17.0,10.0,,,1.1752434408572925
24736,0,Женский,29561.6,164,65.67,70.0,2,Положительная,7.0,1262700.88,21.0,8.0,,43407.0,0.4449941373706622
24780,0,Мужской,83000.0,29,64.83,15.0,0,Приемлемая 1,0.0,0.0,0.0,0.0,ВЫСШЕЕ,43407.0,0.2078694579803883
24793,0,Женский,,0,39.42,,0,Приемлемая 1,,,,,СРЕДНЕЕ СПЕЦИАЛЬНОЕ,65110.5,0.0
24868,0,Женский,10000.0,139,69.17,116.0,14,Положительная,12.0,609149.03,27.0,4.0,,43407.0,0.2277942435618784
24964,0,Женский,3366.9,89,68.25,24.0,0,Положительная,3.0,119582.9,19.0,1.0,ВЫСШЕЕ,43407.0,0.0872647518194002
24983,0,Женский,,24,63.08,,0,Положительная,2.0,405080.36,54.0,0.0,СРЕДНЕЕ СПЕЦИАЛЬНОЕ,,0.6194760926652972
25062,0,Мужской,17283.4,68,66.75,13.0,2,Положительная,14.0,45882.39,49.0,6.0,,,0.278147933565083
25102,0,Женский,,1,62.33,,0,Приемлемая 1,,,,,СРЕДНЕЕ,43407.0,0.0
25119,0,Мужской,44330.3,130,66.58,89.0,0,Положительная,2.0,325898.7,25.0,0.0,,43407.0,0.1934540693868645
25144,0,Женский,,88,67.0,,0,Положительная,3.0,508417.66,0.0,0.0,ВЫСШЕЕ,43407.0,0.2460264119797193
25428,0,Женский,74044.1,134,62.17,169.0,1,Положительная,1.0,240307.33,10.0,1.0,,,0.3600987998143359
25465,0,Мужской,,48,65.42,,3,Положительная,0.0,99917.0,3.0,4.0,,43407.0,0.8593718888587203
25627,0,Мужской,28478.5,160,50.17,150.0,1,Положительная,1.0,0.0,1.0,1.0,,65110.5,0.1437872408953919
25634,0,Женский,44286.9,87,66.67,47.0,1,Положительная,0.0,467497.0,29.0,4.0,,43407.0,0.3108952039880183
25688,0,Женский,73601.3,95,63.83,116.0,1,Положительная,6.0,897731.98,2.0,6.0,,,0.964469398790287
25697,0,Мужской,5409.2,40,64.83,13.0,24,Приемлемая 1,2.0,234578.75,24.0,7.0,СРЕДНЕЕ СПЕЦИАЛЬНОЕ,43407.0,0.2970606052624647
25718,0,Женский,,0,62.17,,0,Приемлемая 1,,,,,,,0.0
25733,0,Мужской,8899.6,306,41.25,179.0,0,Положительная,23.0,1945630.88,1.0,5.0,ВЫСШЕЕ,108517.5,0.2509357878500619
25742,0,Женский,51000.0,79,65.92,,0,Положительная,4.0,0.0,0.0,0.0,ВЫСШЕЕ,43407.0,0.0
25752,0,Мужской,2089.5,61,65.17,,13,Положительная,7.0,134531.94,13.0,2.0,СРЕДНЕЕ,43407.0,0.4693538998835855
25757,0,Женский,,26,55.42,,0,Положительная,,,,,ВЫСШЕЕ,43407.0,0.2046691336525903
25763,0,Женский,4518.9,189,67.42,35.0,0,Положительная,51.0,929187.15,1.0,3.0,,,0.2384365528111188
25887,0,Мужской,2084.0,110,53.5,144.0,0,Положительная,2.0,437768.0,0.0,0.0,,43407.0,0.1975954627741792
25888,0,Мужской,12084.0,86,60.08,8.0,0,Положительная,2.0,402806.21,0.0,0.0,,43407.0,0.2637136960312918
25954,0,Мужской,41666.7,117,64.25,66.0,0,Положительная,19.0,2220481.3,0.0,0.0,ВЫСШЕЕ,43407.0,0.2442669226414064
26032,0,Мужской,31312.5,24,51.58,49.0,0,Положительная,2.0,36991.0,0.0,0.0,СРЕДНЕЕ СПЕЦИАЛЬНОЕ,65110.5,0.1669253677465932
26051,0,Женский,2301.5,81,64.83,33.0,0,Положительная,6.0,460972.39,4.0,1.0,,43407.0,0.3203641691084136
26085,0,Женский,53617.6,104,67.33,85.0,4,Положительная,6.0,149702.72,0.0,0.0,,,0.3395461437295291
26090,0,Женский,5000.0,108,59.5,29.0,10,Положительная,27.0,125407.95,10.0,2.0,ВЫСШЕЕ,43407.0,0.4884489350081922
26098,0,Женский,,75,68.67,152.0,4,Положительная,0.0,0.0,4.0,5.0,,43407.0,0.0
26105,0,Мужской,86647.8,105,53.92,123.0,0,Положительная,1.0,395053.7,0.0,0.0,ВЫСШЕЕ,,0.3991746560116734
26111,0,Женский,8543.6,29,62.42,26.0,0,Приемлемая 1,4.0,1177002.06,23.0,1.0,ВЫСШЕЕ,,0.4136098343552848
26115,0,Женский,36849.2,79,64.92,64.0,0,Положительная,6.0,500137.0,10.0,1.0,СРЕДНЕЕ СПЕЦИАЛЬНОЕ,,0.289201642395997
26119,0,Женский,3901.8,82,62.0,123.0,2,Приемлемая 2,5.0,70792.47,2.0,1.0,,,0.250295578150863
26133,0,Женский,17400.0,123,64.75,68.0,0,Положительная,2.0,298064.0,28.0,5.0,ВЫСШЕЕ,,0.3686281094825725
26135,0,Женский,,38,67.58,80.0,0,Положительная,1.0,,4.0,0.0,,43407.0,0.0
26192,0,Женский,41666.7,39,67.42,40.0,0,Положительная,3.0,104167.0,0.0,0.0,СРЕДНЕЕ СПЕЦИАЛЬНОЕ,43407.0,0.1097650734448225
26331,0,Женский,4556.6,54,62.33,35.0,23,Положительная,10.0,27024.0,23.0,6.0,,,0.0
26407,0,Женский,46665.4,22,67.42,45.0,0,Приемлемая 1,0.0,64716.2,28.0,2.0,СРЕДНЕЕ СПЕЦИАЛЬНОЕ,,0.3482085433912159
26416,0,Женский,71067.4,115,63.33,34.0,0,Положительная,7.0,1614564.76,15.0,2.0,,43407.0,0.4152371047280716
26420,0,Мужской,36292.8,90,64.75,7.0,11,Положительная,8.0,1306709.13,11.0,1.0,ВЫСШЕЕ,,0.8745061914294319
26435,0,Женский,67097.5,137,65.75,153.0,1,Положительная,0.0,935936.33,4.0,4.0,ВЫСШЕЕ,,0.3621595733664699
26476,0,Мужской,27981.0,68,52.0,69.0,0,Приемлемая 1,0.0,293350.03,0.0,0.0,ВЫСШЕЕ,65110.5,0.0
26486,0,Женский,40667.0,49,61.92,14.0,0,Приемлемая 1,24.0,1019193.02,0.0,0.0,ВЫСШЕЕ,,0.4911937014307334
26487,0,Женский,63055.0,150,68.25,57.0,26,Приемлемая 2,4.0,37456.0,54.0,7.0,,43407.0,0.0296035797236474
26492,0,Женский,18128.6,65,67.83,32.0,0,Положительная,3.0,285166.74,0.0,0.0,,43407.0,0.0919426388954784
26526,0,Мужской,15214.3,0,65.33,,0,Приемлемая 1,,,,,,,0.0
26554,0,Женский,,0,69.17,,0,Приемлемая 1,,,,,,43407.0,0.0
26562,0,Мужской,96978.1,24,58.17,162.0,0,Приемлемая 1,2.0,,0.0,0.0,,,0.0
26582,0,Женский,36250.0,100,68.75,102.0,0,Положительная,0.0,0.0,0.0,0.0,СРЕДНЕЕ,43407.0,0.0
26589,0,Женский,,48,64.67,75.0,0,Положительная,1.0,0.0,0.0,0.0,СРЕДНЕЕ,,0.0
26591,0,Мужской,85435.5,51,55.33,146.0,0,Положительная,1.0,0.0,14.0,0.0,ВЫСШЕЕ,,0.0
26592,0,Мужской,20834.0,79,64.25,14.0,0,Положительная,0.0,754063.98,0.0,0.0,ВЫСШЕЕ,43407.0,0.2950403977386509
26603,0,Женский,8447.0,115,62.25,51.0,10,Приемлемая 1,5.0,1517527.94,28.0,14.0,,43407.0,0.4090227512541883
26616,0,Мужской,9528.9,108,65.5,93.0,77,Удовлетворительная,3.0,324787.35,77.0,5.0,СРЕДНЕЕ СПЕЦИАЛЬНОЕ,43407.0,0.1504008980373538
26620,0,Мужской,,0,64.0,,0,Приемлемая 1,,,,,,43407.0,0.0
26623,0,Мужской,69666.4,52,64.0,79.0,4,Положительная,0.0,75998.0,4.0,1.0,ВЫСШЕЕ,43407.0,0.0454607982105156
26629,0,Женский,,144,62.92,73.0,1,Положительная,4.0,284688.31,1.0,1.0,ВЫСШЕЕ,,0.4250549898167006
26637,0,Женский,25000.0,159,66.33,44.0,0,Положительная,2.0,962897.73,0.0,0.0,,43407.0,0.3145712527915437
26640,0,Женский,2325.1,101,64.25,29.0,1,Положительная,6.0,932077.63,1.0,1.0,,43407.0,0.4832652507608839
26642,0,Женский,13125.0,71,65.0,57.0,0,Положительная,0.0,85458.0,0.0,0.0,,43407.0,0.1152305987234352
26646,0,Женский,53782.9,11,65.17,23.0,0,Приемлемая 1,0.0,,0.0,0.0,,,0.3510220731245676
26648,0,Мужской,41666.7,93,64.42,59.0,43,Приемлемая 2,2.0,209336.03,67.0,32.0,,,0.2080614447124539
26656,0,Женский,93330.0,153,62.67,152.0,0,Положительная,6.0,2833000.38,0.0,0.0,ВЫСШЕЕ,43407.0,0.7700096409116598
26657,0,Женский,3617.2,35,65.33,31.0,0,Приемлемая 1,0.0,377401.62,0.0,0.0,ВЫСШЕЕ,43407.0,0.4348205739618142
26671,0,Мужской,36220.2,68,68.58,43.0,0,Положительная,1.0,,0.0,0.0,ВЫСШЕЕ,43407.0,0.0
26674,0,Женский,29977.0,10,61.58,9.0,0,Приемлемая 1,3.0,22761.27,0.0,0.0,СРЕДНЕЕ СПЕЦИАЛЬНОЕ,,0.0892395917484952
26681,0,Женский,1334.0,57,63.67,67.0,0,Приемлемая 1,5.0,1995257.29,0.0,0.0,СРЕДНЕЕ,43407.0,0.2738689639389283
26739,0,Женский,,72,67.42,117.0,0,Положительная,2.0,100148.0,0.0,0.0,,,0.2081403611948344
26749,0,Мужской,,22,67.33,,0,Отрицательная,5.0,,1292.0,21.0,ВЫСШЕЕ,43407.0,0.0
26762,0,Мужской,25027.0,18,69.17,20.0,0,Приемлемая 1,0.0,,0.0,0.0,,,0.0
26775,0,Женский,32743.3,55,68.83,96.0,0,Приемлемая 1,5.0,376736.81,0.0,0.0,,43407.0,0.3367928409792224
26779,0,Женский,32269.8,43,64.33,36.0,2,Приемлемая 1,1.0,625000.0,2.0,1.0,ВЫСШЕЕ,43407.0,0.3693329747175901
26799,0,Женский,7083.4,0,61.33,,0,Приемлемая 1,,,,,,,0.0
26800,0,Мужской,9064.3,132,66.33,26.0,0,Отрицательная,,,,,,43407.0,0.429992186621246
26819,0,Женский,78500.0,21,66.92,11.0,0,Приемлемая 2,1.0,,0.0,0.0,,,0.0
26828,0,Мужской,6505.2,78,67.17,17.0,42,Приемлемая 2,1.0,69326.0,42.0,29.0,,43407.0,0.4284858191961124
26846,0,Женский,41666.7,179,69.08,92.0,1,Положительная,7.0,69992.86,6.0,2.0,,,0.0631668498103576
26851,0,Мужской,79853.6,98,63.67,,1,Положительная,1.0,510531.34,6.0,2.0,ВЫСШЕЕ,,0.3062645936556751
26904,0,Женский,6090.0,159,63.67,25.0,3,Положительная,1.0,723422.06,4.0,4.0,ВЫСШЕЕ,,0.5459059774145423
26962,0,Женский,56957.0,113,61.75,31.0,18,Положительная,8.0,2136288.36,18.0,4.0,,,0.5559317510246878
26972,0,Женский,9754.5,148,68.5,103.0,0,Приемлемая 1,2.0,976916.99,0.0,0.0,ВЫСШЕЕ,43407.0,0.4782579986793925
27002,0,Мужской,2267.0,24,63.75,3.0,1,Положительная,8.0,854083.32,1.0,1.0,,43407.0,0.2793110245921837
27103,0,Женский,26835.6,54,62.17,69.0,0,Приемлемая 2,4.0,79162.5,0.0,0.0,,,0.1255531061170761
27108,0,Мужской,41666.7,93,68.5,61.0,0,Положительная,4.0,165202.3,13.0,4.0,,43407.0,0.0564534311434211
27129,0,Женский,46500.0,62,62.67,42.0,0,Положительная,0.0,0.0,0.0,0.0,ВЫСШЕЕ,,0.0309783585187388
27132,0,Женский,13258.2,76,66.33,,0,Положительная,5.0,106389.69,0.0,0.0,,43407.0,0.2767270004557588
27133,0,Мужской,6250.0,121,66.67,39.0,1,Положительная,2.0,109999.0,1.0,1.0,ВЫСШЕЕ,43407.0,0.1602893820396625
27134,0,Женский,4931.1,89,65.58,65.0,0,Положительная,2.0,253342.18,11.0,1.0,СРЕДНЕЕ,43407.0,0.363917025114472
27136,0,Женский,9037.8,33,62.83,57.0,0,Приемлемая 1,4.0,910830.42,0.0,0.0,,43407.0,0.2706332789961781
